hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[4],relu,25,0.1,128,0.7629644752960392
[4],relu,25,0.1,256,0.7599020008166598
[4],relu,25,0.1,512,0.7523478971008575
[4],relu,25,0.01,16,0.7609228256431196
[4],relu,25,0.01,32,0.7533687219273173
[4],relu,25,0.01,64,0.7419354838709677
[4],relu,25,0.01,128,0.6651694569211923
[4],relu,25,0.01,256,0.7060024499795835
[4],relu,25,0.01,512,0.6651694569211923
[4],relu,25,0.001,16,0.6843609636586362
[4],relu,25,0.001,32,0.6651694569211923
[4],relu,25,0.001,64,0.6684360963658637
[4],relu,25,0.001,128,0.3811759902000817
[4],relu,25,0.001,256,0.5994283380971825
[4],relu,25,0.001,512,0.6567986933442221
[4],relu,25,0.0001,16,0.6653736218864843
[4],relu,25,0.0001,32,0.6233156390363414
[4],relu,25,0.0001,64,0.5800326663944467
[4],relu,25,0.0001,128,0.338097182523479
[4],relu,25,0.0001,256,0.5230706410779911
[4],relu,25,0.0001,512,0.3444262964475296
[4],relu,50,10.0,16,0.33483054307880766
[4],relu,50,10.0,32,0.33483054307880766
[4],relu,50,10.0,64,0.6653736218864843
[4],relu,50,10.0,128,0.6651694569211923
[4],relu,50,10.0,256,0.6651694569211923
[4],relu,50,10.0,512,0.6735402204981625
[4],relu,50,1.0,16,0.6904859126173949
[4],relu,50,1.0,32,0.7599020008166598
[4],relu,50,1.0,64,0.754593711719069
[4],relu,50,1.0,128,0.7488770926908942
[4],relu,50,1.0,256,0.7192731727235606
[4],relu,50,1.0,512,0.7609228256431196
[4],relu,50,0.1,16,0.7735810534912209
[4],relu,50,0.1,32,0.7717435688035933
[4],relu,50,0.1,64,0.7703144140465497
[4],relu,50,0.1,128,0.7756227031441405
[4],relu,50,0.1,256,0.7664352797060024
[4],relu,50,0.1,512,0.7633728052266231
[4],relu,50,0.01,16,0.7670477746018783
[4],relu,50,0.01,32,0.7631686402613311
[4],relu,50,0.01,64,0.7621478154348714
[4],relu,50,0.01,128,0.7333605553287056
[4],relu,50,0.01,256,0.7539812168231932
[4],relu,50,0.01,512,0.6674152715394038
[4],relu,50,0.001,16,0.7439771335238873
[4],relu,50,0.001,32,0.6649652919559004
[4],relu,50,0.001,64,0.6847692935892201
[4],relu,50,0.001,128,0.6676194365046958
[4],relu,50,0.001,256,0.5338913842384647
[4],relu,50,0.001,512,0.5902409146590445
